昵称,性别,地区,评论
素裳の老公冷面小青龙,保密,澳大利亚,感觉很多人b站小年轻看咒这种蟹脚恐怖电影游戏难受 但有意思的是他们又喜欢去捧沾点蟹但整体不蟹的恐怖电影游戏 就像在一碗重咸重油重麻的火锅里加奶油加糖加醋去稀释辣度一样 如果吃不了带中式蟹脚的换一家西式蟹脚或者不加蟹脚的吃 喜欢搞蟹脚警察的也别找茬[辣眼睛]
锅包又Am,女,四川,配音很强，女主陈佳君的配音曾允凡老师，是蜡笔小新的配音，没想到吧，啊哈哈哈哈哈（我的迷之关注点）[喜欢]
还差一根稻草的骆驼,男,福建,天国：为我们的友谊干杯🍻
跳跳熊非常熊,男,黑龙江,23:32
不科学的丿,保密,云南,大黑佛母vs赛博坦人谁能赢？
摆烂用户w123,保密,美国,cc我来啦 之前说申请完学校就看 现在结束啦！！！
罹澈er,女,天津,哦莫……连着看完了  jump scare吓我很多次 最后越来越疯魔了剧情……唉
台阶de冰雪,保密,广西,一般...还无聊
柒之恋,男,广东,其实所谓的红衣女孩也就是“芽芽”他根本就是不是芽芽，而真正的芽芽其实就在佛母的供桌上，也就是那个用纱布包裹的类似死婴的东西，这个红衣女孩，有可能是佛母的仙童也就是真正的“孩子”，而第二种就是佛母附身用于可以自由活动的身体或者媒介，而女主自始自终都被蒙在鼓里，而女主最后虔诚且疯狂地祭拜佛母，也正如了佛母的意，让女主彻底回归佛母的拥抱……
King白金,保密,山东,放心大胆地看，有我在
Clementine_hgz,保密,湖北,最后女主向佛母献祭好像是没有理由的吧，前面有什么剧情让她产生了“向佛母祈求就能带回女儿”的认知吗？，还是我没看仔细漏了什么
壹壹壹贰壹壹,男,上海,仙剑和轩辕剑的IP卖掉了吧
treeXray,男,山东,"牛逼这剧情，开头女主找女儿女孩找妈妈，结尾女主找到了女儿小女孩也找到了妈妈。
佛母看人类就像人类看鸡，人会保护下蛋的母鸡，不下蛋的就会死"
鱼と熊掌,男,广东,医院可能跟陈家村有勾结。看弹幕一群人在指责女主有精神病真的无语，这跟那些游戏里第五章那些说闲言碎语的人有什么区别[笑哭]
爱拍言午,女,河北,第五章时候我哭了，一个母亲的痛苦是多么难受，配音演员真的用了心，撕心裂肺的 太有感触了
萝丝高兰德,男,江苏,弹幕刷反弹，太TM难绷了
悠木籽,保密,湖南,最后是啥意思？佛母是小女孩妈妈？
朝绪,女,江苏,评论一直刷佛母弱，按故事设定来说神是存在的，但是李若男跑了很多地方也没什么人能帮她，周仓被打上门来也是直接转身不管（有人说是李干蠢事生气了？）但是庙祝得救吧？
陆路里,女,宁夏,这游戏怎么就是突脸啊，虽然很不讲武德但真的最怕这个[大哭][大哭][大哭][大哭]
市北没有派对,保密,广东,26:04的门 我怎么进不去啊
底层逻辑1,保密,河南,陈桂林
孤鹤归山ヅ,保密,辽宁,怎么蹲下
理塘之王丁真真珠,女,广东,低龄化真严重，全是刷反弹的。影响观感...
Solkatt猫尾,女,广西,无限反弹永久有效[保佑][保佑][保佑]
